Speed, Rotations, Status, Gear position, TransmissionMode, Proximity
0, 1000, 1, 0, Automatic, 11,1
0, 1000, 1, 0, Automatic, 11,1
0, 1000, 1, 0, Automatic, 11,1
0, 1000, 1, 0, Automatic, 11,1
0, 1000, 1, 0, Automatic, 11,1
0, 1000, 1, 0, Automatic, 11,1
0, 1000, 1, 0, Automatic, 11,1
0, 1000, 1, 0, Automatic, 11,1
0, 1000, 1, 0, Automatic, 11,1
0, 1000, 1, 0, Automatic, 11,1
0, 1000, 1, 0, Automatic, 11,1
0, 1000, 1, 0, Automatic, 11,1
0, 1000, 1, 0, Automatic, 11,1
0, 1000, 1, 0, Automatic, 11,1
0, 1000, 1, 0, Automatic, 11,1
0, 1000, 1, 0, Automatic, 11,1
0, 1000, 1, 0, Automatic, 11,1
0, 1000, 1, 0, Automatic, 11,1
0, 1000, 1, 0, Automatic, 11,1
0, 1000, 1, 0, Automatic, 11,1
0, 1000, 1, 0, Automatic, 11,1
0, 1000, 1, 0, Automatic, 11,1
0, 1000, 1, 0, Automatic, 11,1
0, 1000, 1, 0, Automatic, 11,1
0, 1000, 1, 0, Automatic, 11,1
0, 1000, 1, 0, Automatic, 11,1
0, 1000, 1, 0, Automatic, 11,1
0, 1000, 1, 0, Automatic, 11,1
0, 1000, 1, 0, Automatic, 11,1
0, 1000, 1, 0, Automatic, 11,1
0, 1000, 1, 0, Automatic, 11,1
0, 1000, 1, 0, Automatic, 11,1
0, 1000, 1, 0, Automatic, 11,1
0, 1000, 1, 0, Automatic, 11,1
0, 1000, 1, 0, Automatic, 11,1
0, 1000, 1, 0, Automatic, 11,1
0, 1000, 1, 0, Automatic, 11,1
0, 1000, 1, 0, Automatic, 11,1
0, 1000, 1, 0, Automatic, 11,1
0, 1000, 1, 0, Automatic, 11,1
0, 1000, 1, 0, Automatic, 11,1
0, 1000, 1, 0, Automatic, 11,1
0, 1000, 1, 0, Automatic, 11,1
0, 1000, 1, 0, Automatic, 11,1
0, 1000, 1, 0, Automatic, 11,1
0, 1000, 1, 0, Automatic, 11,1
0, 1005, 1, 0, Automatic, 11,1
0, 1011, 1, 0, Automatic, 11,1
0, 1019, 1, 0, Automatic, 11,1
0, 1031, 1, 0, Automatic, 11,1
0, 1045, 1, 0, Automatic, 11,1
0, 1061, 1, 0, Automatic, 11,1
0, 1081, 1, 0, Automatic, 11,1
0, 1102, 1, 0, Automatic, 11,1
0, 1126, 1, 0, Automatic, 11,1
0, 1154, 1, 0, Automatic, 11,1
0, 1182, 1, 0, Automatic, 11,1
0, 1213, 1, 0, Automatic, 11,1
0, 1246, 1, 0, Automatic, 11,1
0, 1281, 1, 0, Automatic, 11,1
0, 1317, 1, 0, Automatic, 11,1
0, 1355, 1, 0, Automatic, 11,1
0, 1393, 1, 0, Automatic, 11,1
0, 1428, 1, 0, Automatic, 11,1
0, 1461, 1, 0, Automatic, 11,1
1, 1490, 1, 0, Automatic, 11,1
1, 1515, 1, 0, Automatic, 11,1
1, 1537, 1, 0, Automatic, 11,1
1, 1554, 1, 0, Automatic, 11,1
1, 1568, 1, 0, Automatic, 11,1
2, 1580, 1, 0, Automatic, 11,0
2, 1592, 1, 0, Automatic, 11,0
2, 1603, 1, 1, Automatic, 11,0
3, 1613, 1, 1, Automatic, 11,0
3, 1622, 1, 1, Automatic, 11,0
4, 1631, 1, 1, Automatic, 11,0
4, 1640, 1, 1, Automatic, 11,0
4, 1648, 1, 1, Automatic, 11,0
5, 1656, 1, 1, Automatic, 10,9
5, 1664, 1, 1, Automatic, 10,9
6, 1671, 1, 1, Automatic, 10,9
6, 1679, 1, 1, Automatic, 10,9
6, 1687, 1, 1, Automatic, 10,8
7, 1695, 1, 1, Automatic, 10,8
7, 1704, 1, 1, Automatic, 10,8
8, 1712, 1, 1, Automatic, 10,8
8, 1721, 1, 1, Automatic, 10,7
8, 1730, 1, 1, Automatic, 10,7
9, 1740, 1, 1, Automatic, 10,7
9, 1749, 1, 1, Automatic, 10,6
10, 1760, 1, 1, Automatic, 10,6
10, 1770, 1, 1, Automatic, 10,6
10, 1778, 1, 1, Automatic, 10,5
11, 1783, 1, 1, Automatic, 10,5
11, 1786, 1, 1, Automatic, 10,4
12, 1786, 1, 1, Automatic, 10,4
12, 1784, 1, 1, Automatic, 10,3
12, 1781, 1, 1, Automatic, 10,3
13, 1776, 1, 1, Automatic, 10,3
13, 1770, 1, 1, Automatic, 10,2
13, 1763, 1, 1, Automatic, 10,2
13, 1755, 1, 1, Automatic, 10,1
14, 1745, 1, 1, Automatic, 10,1
14, 1735, 1, 1, Automatic, 10,0
14, 1723, 1, 1, Automatic, 10,0
14, 1710, 1, 1, Automatic, 9,9
14, 1695, 1, 1, Automatic, 9,9
14, 1680, 1, 1, Automatic, 9,8
15, 1656, 1, 1, Automatic, 9,8
15, 1634, 1, 1, Automatic, 9,7
15, 1614, 1, 1, Automatic, 9,7
15, 1596, 1, 1, Automatic, 9,6
15, 1579, 1, 1, Automatic, 9,6
15, 1563, 1, 1, Automatic, 9,5
15, 1548, 1, 1, Automatic, 9,5
15, 1534, 1, 1, Automatic, 9,4
15, 1520, 1, 1, Automatic, 9,4
15, 1507, 1, 1, Automatic, 9,3
15, 1494, 1, 1, Automatic, 9,3
15, 1482, 1, 1, Automatic, 9,2
15, 1470, 1, 1, Automatic, 9,2
15, 1458, 1, 1, Automatic, 9,1
14, 1446, 1, 1, Automatic, 9,1
14, 1435, 1, 1, Automatic, 9,0
14, 1424, 1, 1, Automatic, 8,9
14, 1412, 1, 1, Automatic, 8,9
14, 1401, 1, 1, Automatic, 8,8
14, 1390, 1, 1, Automatic, 8,7
14, 1378, 1, 1, Automatic, 8,7
14, 1367, 1, 1, Automatic, 8,6
14, 1355, 1, 1, Automatic, 8,5
13, 1343, 1, 1, Automatic, 8,5
13, 1331, 1, 1, Automatic, 8,4
13, 1320, 1, 1, Automatic, 8,3
13, 1308, 1, 1, Automatic, 8,3
13, 1296, 1, 1, Automatic, 8,2
13, 1284, 1, 1, Automatic, 8,1
13, 1272, 1, 1, Automatic, 8,1
13, 1260, 1, 1, Automatic, 8,0
13, 1249, 1, 1, Automatic, 7,9
12, 1237, 1, 1, Automatic, 7,9
12, 1225, 1, 1, Automatic, 7,8
12, 1214, 1, 1, Automatic, 7,7
12, 1202, 1, 1, Automatic, 7,6
12, 1191, 1, 1, Automatic, 7,6
12, 1179, 1, 1, Automatic, 7,5
12, 1168, 1, 1, Automatic, 7,4
12, 1157, 1, 1, Automatic, 7,4
12, 1145, 1, 1, Automatic, 7,3
12, 1134, 1, 1, Automatic, 7,2
12, 1123, 1, 1, Automatic, 7,2
12, 1112, 1, 1, Automatic, 7,1
12, 1102, 1, 1, Automatic, 7,0
12, 1091, 1, 1, Automatic, 7,0
12, 1094, 1, 1, Automatic, 6,9
11, 1101, 1, 1, Automatic, 6,8
11, 1110, 1, 1, Automatic, 6,8
11, 1122, 1, 1, Automatic, 6,7
11, 1137, 1, 1, Automatic, 6,6
11, 1155, 1, 1, Automatic, 6,6
11, 1176, 1, 1, Automatic, 6,5
11, 1199, 1, 1, Automatic, 6,5
11, 1225, 1, 1, Automatic, 6,4
11, 1254, 1, 1, Automatic, 6,3
11, 1285, 1, 1, Automatic, 6,3
11, 1319, 1, 1, Automatic, 6,2
11, 1356, 1, 1, Automatic, 6,2
11, 1395, 1, 1, Automatic, 6,1
11, 1437, 1, 1, Automatic, 6,0
11, 1482, 1, 1, Automatic, 6,0
11, 1527, 1, 1, Automatic, 5,9
12, 1571, 1, 1, Automatic, 5,8
12, 1614, 1, 1, Automatic, 5,8
12, 1654, 1, 1, Automatic, 5,7
12, 1692, 1, 1, Automatic, 5,7
12, 1728, 1, 1, Automatic, 5,6
12, 1762, 1, 1, Automatic, 5,5
12, 1793, 1, 1, Automatic, 5,5
13, 1822, 1, 1, Automatic, 5,4
13, 1848, 1, 1, Automatic, 5,3
13, 1872, 1, 1, Automatic, 5,3
13, 1893, 1, 1, Automatic, 5,2
14, 1913, 1, 1, Automatic, 5,1
14, 1930, 1, 1, Automatic, 5,0
14, 1947, 1, 1, Automatic, 5,0
15, 1962, 1, 1, Automatic, 4,9
15, 1975, 1, 1, Automatic, 4,8
15, 1988, 1, 1, Automatic, 4,7
16, 1999, 1, 1, Automatic, 4,6
16, 2009, 1, 1, Automatic, 4,6
16, 2021, 1, 1, Automatic, 4,5
17, 2034, 1, 1, Automatic, 4,4
17, 2050, 1, 1, Automatic, 4,3
18, 2068, 1, 1, Automatic, 4,2
18, 2088, 1, 1, Automatic, 4,1
18, 2111, 1, 1, Automatic, 4,0
19, 2135, 1, 1, Automatic, 3,9
19, 2161, 1, 1, Automatic, 3,8
19, 2189, 1, 1, Automatic, 3,7
20, 2218, 1, 1, Automatic, 3,6
20, 2247, 1, 1, Automatic, 3,5
20, 2277, 1, 1, Automatic, 3,4
20, 2306, 1, 1, Automatic, 3,3
21, 2332, 1, 1, Automatic, 3,2
21, 2353, 1, 1, Automatic, 3,1
21, 2372, 1, 1, Automatic, 3,0
21, 2387, 1, 1, Automatic, 2,9
22, 2400, 1, 1, Automatic, 2,8
22, 2409, 1, 1, Automatic, 2,7
22, 2416, 1, 1, Automatic, 2,6
22, 2421, 1, 1, Automatic, 2,5
22, 2423, 1, 1, Automatic, 2,4
22, 2424, 1, 1, Automatic, 2,3
23, 2422, 1, 1, Automatic, 2,2
23, 2418, 1, 1, Automatic, 2,1
23, 2413, 1, 1, Automatic, 2,0
23, 2405, 1, 1, Automatic, 1,9
23, 2395, 1, 1, Automatic, 1,8
23, 2383, 1, 1, Automatic, 1,7
23, 2368, 1, 1, Automatic, 1,7
23, 2355, 1, 1, Automatic, 1,6
23, 2343, 1, 1, Automatic, 1,6
22, 2333, 1, 1, Automatic, 1,5
22, 2322, 1, 1, Automatic, 1,5
22, 2312, 1, 1, Automatic, 1,5
22, 2302, 1, 1, Automatic, 1,4
22, 2292, 1, 1, Automatic, 1,4
22, 2280, 1, 1, Automatic, 1,3
21, 2268, 1, 1, Automatic, 1,3
21, 2256, 1, 1, Automatic, 1,3
21, 2242, 1, 1, Automatic, 1,2
21, 2228, 1, 1, Automatic, 1,2
21, 2213, 1, 1, Automatic, 1,2
21, 2198, 1, 1, Automatic, 1,2
20, 2183, 1, 1, Automatic, 1,1
20, 2168, 1, 1, Automatic, 1,1
20, 2154, 1, 1, Automatic, 1,1
20, 2139, 1, 1, Automatic, 1,1
20, 2126, 1, 1, Automatic, 1,1
20, 2113, 1, 1, Automatic, 1,1
20, 2100, 1, 1, Automatic, 1,0
20, 2088, 1, 1, Automatic, 1,0
20, 2077, 1, 1, Automatic, 1,0
20, 2065, 1, 1, Automatic, 1,0
19, 2054, 1, 1, Automatic, 1,0
19, 2043, 1, 1, Automatic, 1,0
19, 2031, 1, 1, Automatic, 1,0
19, 2020, 1, 1, Automatic, 0,9
19, 2007, 1, 1, Automatic, 0,9
19, 1995, 1, 1, Automatic, 0,9
19, 1982, 1, 1, Automatic, 0,9
18, 1969, 1, 1, Automatic, 0,9
18, 1955, 1, 1, Automatic, 0,9
18, 1941, 1, 1, Automatic, 0,9
18, 1927, 1, 1, Automatic, 0,9
18, 1912, 1, 1, Automatic, 0,9
18, 1898, 1, 1, Automatic, 0,9
18, 1883, 1, 1, Automatic, 0,9
18, 1868, 1, 1, Automatic, 0,9
17, 1853, 1, 1, Automatic, 1,0
17, 1839, 1, 1, Automatic, 1,0
17, 1824, 1, 1, Automatic, 1,0
17, 1810, 1, 1, Automatic, 1,0
17, 1795, 1, 1, Automatic, 1,0
17, 1781, 1, 1, Automatic, 1,0
17, 1768, 1, 1, Automatic, 1,0
17, 1754, 1, 1, Automatic, 1,0
17, 1741, 1, 1, Automatic, 1,1
17, 1728, 1, 1, Automatic, 1,1
17, 1715, 1, 1, Automatic, 1,1
17, 1703, 1, 1, Automatic, 1,1
17, 1692, 1, 1, Automatic, 1,1
17, 1680, 1, 1, Automatic, 1,1
17, 1670, 1, 1, Automatic, 1,2
16, 1660, 1, 1, Automatic, 1,2
16, 1650, 1, 1, Automatic, 1,2
16, 1641, 1, 1, Automatic, 1,2
16, 1632, 1, 1, Automatic, 1,2
16, 1623, 1, 1, Automatic, 1,1
16, 1615, 1, 1, Automatic, 1,1
16, 1607, 1, 1, Automatic, 1,1
16, 1599, 1, 1, Automatic, 1,1
16, 1592, 1, 1, Automatic, 1,1
16, 1584, 1, 1, Automatic, 1,1
16, 1576, 1, 1, Automatic, 1,1
16, 1568, 1, 1, Automatic, 1,1
16, 1560, 1, 1, Automatic, 1,1
16, 1552, 1, 1, Automatic, 1,1
16, 1544, 1, 1, Automatic, 1,1
16, 1536, 1, 1, Automatic, 1,2
16, 1528, 1, 1, Automatic, 1,2
16, 1520, 1, 1, Automatic, 1,2
16, 1512, 1, 1, Automatic, 1,2
15, 1504, 1, 1, Automatic, 1,3
15, 1495, 1, 1, Automatic, 1,3
15, 1487, 1, 1, Automatic, 1,4
15, 1479, 1, 1, Automatic, 1,4
15, 1470, 1, 1, Automatic, 1,5
15, 1462, 1, 1, Automatic, 1,5
15, 1454, 1, 1, Automatic, 1,6
15, 1446, 1, 1, Automatic, 1,6
15, 1438, 1, 1, Automatic, 1,7
15, 1429, 1, 1, Automatic, 1,8
15, 1421, 1, 1, Automatic, 1,8
15, 1413, 1, 1, Automatic, 1,9
15, 1405, 1, 1, Automatic, 1,9
15, 1397, 1, 1, Automatic, 2,0
15, 1389, 1, 1, Automatic, 2,1
15, 1381, 1, 1, Automatic, 2,1
15, 1372, 1, 1, Automatic, 2,2
15, 1364, 1, 1, Automatic, 2,3
14, 1356, 1, 1, Automatic, 2,4
14, 1348, 1, 1, Automatic, 2,4
14, 1340, 1, 1, Automatic, 2,5
14, 1332, 1, 1, Automatic, 2,6
14, 1324, 1, 1, Automatic, 2,6
14, 1316, 1, 1, Automatic, 2,7
14, 1308, 1, 1, Automatic, 2,8
14, 1300, 1, 1, Automatic, 2,9
14, 1293, 1, 1, Automatic, 2,9
14, 1285, 1, 1, Automatic, 3,0
14, 1277, 1, 1, Automatic, 3,1
14, 1269, 1, 1, Automatic, 3,1
14, 1261, 1, 1, Automatic, 3,2
14, 1253, 1, 1, Automatic, 3,3
14, 1245, 1, 1, Automatic, 3,4
14, 1237, 1, 1, Automatic, 3,4
14, 1229, 1, 1, Automatic, 3,5
14, 1221, 1, 1, Automatic, 3,6
14, 1214, 1, 1, Automatic, 3,6
14, 1206, 1, 1, Automatic, 3,7
13, 1198, 1, 1, Automatic, 3,8
13, 1190, 1, 1, Automatic, 3,8
13, 1182, 1, 1, Automatic, 3,9
13, 1174, 1, 1, Automatic, 4,0
13, 1167, 1, 1, Automatic, 4,1
13, 1159, 1, 1, Automatic, 4,1
13, 1151, 1, 1, Automatic, 4,2
13, 1143, 1, 1, Automatic, 4,3
13, 1136, 1, 1, Automatic, 4,3
13, 1128, 1, 1, Automatic, 4,4
13, 1120, 1, 1, Automatic, 4,5
13, 1112, 1, 1, Automatic, 4,5
13, 1105, 1, 1, Automatic, 4,6
